entity_group,score,word,start,end
B,0.7203414,c,48,50
B,0.47795135,3,53,55
B,0.5514679,3,70,71
I,0.904278,years,71,77
I,0.92680484,patient,17,25
B,0.7871633,complain,33,42
B,0.8887062,pain,49,54
B,0.76696646,limitation,57,68
B,0.79907864,motion,84,91
B,0.8775625,an,98,101
I,0.5346595,kle,101,104
B,0.6069252,her ,2,7
I,0.97970116,year,8,13
B,0.47354093,follow,13,20
B,0.56117153,up,21,23
B,0.78978825,the,24,28
I,0.92892647,patient,28,36
B,0.5164978,evidence,59,68
B,0.62466097,disease,81,89
B,0.64946526,restart,18,26
B,0.6470986,ensitization,50,62
B,0.8270549,gross,11,17
B,0.76175725,distended,19,29
B,0.67637694,distorted contour,34,52
B,0.7311277,dist,82,87
I,0.94952583,wall,111,116
B,0.66917324,u,145,147
B,0.96285725,il,149,151
B,0.85888386,birth the,2,12
I,0.9157062,girl,12,17
B,0.73245907,small,21,27
B,0.59858567,gest,31,36
B,0.6218116,age,43,47
I,0.4274835,,1,2
I,0.8108641,-year-old Arabian woman,4,27
B,0.931037,presented,27,37
I,0.8910449,months,45,52
B,0.7055755,drainage tube,1,15
B,0.87827665,inserted,19,28
I,0.8979702,34-year,2,9
I,0.9803017,old,10,13
I,0.7702964,diagnosed HIV positive,22,45
I,0.9223844,4,51,52
B,0.7932029,referred,56,65
B,0.5221937,us,68,71
I,0.9050061,2-,79,81
B,0.41602024,ab,97,100
B,0.69710386,inal,103,107
I,0.7412409,"pain, ab",107,116
B,0.79229385,inal distension,119,134
B,0.8527032,back,138,143
I,0.79986185,ache,143,147
I,0.7644209,ors,159,162
B,0.6877163,ened ,162,167
B,0.99786574,presentation,183,196
I,0.8389225,-year-old man,4,17
B,0.9193888,presented,17,27
B,0.49561453,seven,34,40
B,0.5635152,progress,57,66
B,0.7521788,w,71,73
I,0.65222776,ateral knees,85,97
B,0.41448563,pain,97,102
B,0.5592336,swelling,118,127
B,0.5587763,history,2,10
B,0.7349987,blood transfusion,13,31
B,0.7065416,patient,35,43
B,0.44244507,he,62,65
I,0.66824216,p,14,16
I,0.40085575,re,19,21
B,0.72093225,suture ligated,27,42
B,0.5951092,biopsy,3,10
B,0.7440793,revealed tum,19,32
I,0.5119491,cells,34,40
B,0.5603627,monoton,52,60
B,0.6148081,proliferation suggest,63,85
B,0.5472828,carcin,93,100
I,0.5967739,tumor,103,109
B,0.6968665,outcomes,13,22
B,0.89973724,examination revealed,35,56
B,0.6320236,lym,58,62
B,0.6990254,fil,73,76
I,0.57900155,layers,91,98
I,0.7066563,mus,105,109
I,0.49183467,is,114,116
B,0.5310477,im,47,49
B,0.74581593,tomography showed,8,26
B,0.6288804,,28,29
I,0.92799664,-mm,31,34
B,0.49246007,tum,51,55
I,0.61365235,loric,70,75
I,0.45771134,trum,78,82
I,0.52229863,on,13,15
B,0.54396796,tery,21,25
B,0.68552,necrosis,8,17
B,0.6711497,present,22,30
B,0.59085983,hem,35,39
I,0.52640337,orrhage,39,46
B,0.7306243,A,0,1
I,0.7160127,49-year-old white Caucasian woman,1,35
B,0.9281306,presented,35,45
B,0.64886284,bleeding.,58,68
B,0.9737147,examination revealed,14,35
I,0.6874998,pouch of,49,58
B,0.44095948,Douglas,58,66
I,0.7434371,rectal mucosa.,84,99
B,0.90418327,review,9,16
I,0.4306081,angi,32,37
B,0.75571704,she,42,46
B,0.6182552,scheduled,50,60
B,0.4748266,raft,80,84
I,0.47275585,LAD,94,98
B,0.4949482,procedure,113,123
B,0.8345853,March,2,8
I,0.5026368,1997,8,13
B,0.4059159,gy,34,36
I,0.4073579,sw,36,39
B,0.675944,elling,39,45
B,0.73420423,noted,50,56
B,0.5914491,Abdomen,0,7
B,0.81883585,soft,11,16
B,0.54196,palpation,19,29
B,0.630426,tym,33,37
B,0.4817146,cussion,49,56
B,0.8989509,showed,3,10
I,0.4675222,ovarian un,17,28
I,0.616192,c,36,38
B,0.5777403,size ,42,48
I,0.6144375,cm,49,51
I,0.6382162,cm,55,57
I,0.57381314,cm,61,63
B,0.45241615,low,77,81
I,0.5573814,-,81,82
B,0.55004483,echo,96,101
I,0.43083158,es,101,103
I,0.77197707,wall,109,114
B,0.3963461,ed,114,116
I,0.4546268,marg,124,129
B,0.5216438,ined,129,133
B,0.572093,sept,137,142
B,0.8345144,projections,160,172
B,0.65185314,Her,0,3
I,0.5296892,alphaf,3,10
B,0.5789402,prote,14,19
B,0.6293944,P,25,26
B,0.62179434,higher (,31,40
I,0.7430665,ng/mL,44,50
I,0.6944733,spindle cells,3,17
B,0.780652,invaded,21,29
B,0.43429142,prop,44,49
I,0.5339308,layer,52,58
B,0.6128963,extended,62,71
I,0.64177525,subserosal layer.,78,96
B,0.4876691,blood cell,57,68
B,0.5661346,(,74,76
B,0.6292638,BC,77,79
B,0.68580914,,83,84
B,0.6307957,8,87,88
I,0.70962363,30 (,88,92
I,0.69952387,-,93,94
I,0.4771042,0,95,96
I,0.5485408,5,97,98
B,0.69159776,elev,107,112
B,0.78127986,C-,116,119
I,0.7704107,(,135,137
B,0.5665898,P,139,140
B,0.5916013,(,147,149
I,0.58601433,5,168,169
B,0.6316907,an,197,199
B,0.56122935,in,205,207
B,0.6189699,(,219,221
B,0.89031476,,228,229
I,0.6860275,U,233,234
B,0.48641208,-,246,247
B,0.94016635,,290,291
I,0.49940526,U,296,297
B,0.5409901,<,307,309
I,0.36719477,5,311,312
B,0.9255096,The,0,3
I,0.9699504,patient,3,11
B,0.76790375,w,17,18
B,0.8772489,exploration,32,44
B,0.9510816,She,0,3
B,0.8502843,discharged,7,18
B,0.7582463,day ten,21,29
B,0.79042125,three,39,45
I,0.71516156,months of,45,55
B,0.4656294,follow,63,70
I,0.75431013,abdominal pain,82,97
B,0.6714759,ipation,115,122
B,0.7605155,disappeared,126,138
I,0.63494927,postoperative days.,154,174
B,0.75099117,outcome,3,11
B,0.58209586,irth weight 1,30,43
I,0.50977093,kg,45,47
B,0.77040654,palpation,4,14
B,0.52701735,tumour,19,26
B,0.6229909,located,30,38
I,0.49540764,par,45,49
I,0.7778632,id gland,51,59
B,0.8762816,shock,36,42
B,0.6339482,re,52,55
B,0.6503096,impairment,58,69
B,0.68875235,death,105,111
B,0.46787956,day,114,118
B,0.6317727,Platelets 35,0,12
I,0.42697567,0,12,13
B,0.9886756,admission,5,15
I,0.8228753,patient,20,28
B,0.9865108,enectomy,44,52
B,0.8596294,astrectomy,76,86
B,0.7687829,resection),98,109
B,0.64950156,Roux,114,119
I,0.6271453,en,120,122
B,0.81580764,reconstruction,124,139
B,0.8697174,pregnancy,3,13
B,0.945689,delivery,17,26
B,0.81677747,unevent,31,39
B,0.6534551,development,51,63
B,0.6410122,normal,67,74
B,0.5343762,tum,3,7
B,0.6372643,grade,13,19
B,0.7085839,ast,39,42
B,0.9288626,arcin,57,62
I,0.80230737,-year,77,82
B,0.69420075,chem,130,135
B,0.67304957,receiver,3,12
B,0.72999215,taken out,16,26
B,0.6027195,normal,27,34
B,0.86905277,projections,73,85
I,0.71448976,postmen,117,125
B,0.56431234,aus,127,130
B,0.47229946,ren,45,48
B,0.6578231,secretion,70,80
B,0.67331094,delineated,96,107
I,0.7621147,day after,3,13
I,0.71342343,right nostril,17,31
I,0.4566145,tam,43,47
B,0.7232268,started bleeding,51,68
I,0.79759717,lobe,15,20
I,0.74437964,par,27,31
I,0.6508269,id gland,33,41
B,0.58727354,removed,55,63
I,0.8494084,nerve trunk,90,102
B,0.8069078,spleen,3,10
B,0.7410087,removed,19,27
I,0.68444425,bow,20,24
B,0.5701941,confidence,45,56
B,0.62929785,movement,92,101
I,0.68973017,bowels,117,124
B,0.6996561,ization,22,29
B,0.84673434,cort,49,54
B,0.5108961,ion,65,68
B,0.7333665,rise eight,90,101
I,0.7184902,months,101,108
B,0.6388634,treatment,138,148
B,0.8939493,intig,11,16
B,0.8233081,septic,36,43
B,0.68862915,thritis,46,53
B,0.53513706,presence,61,70
I,0.5339345,us,102,104
B,0.9165766,diagnosis,142,152
B,0.59507763,o,155,157
I,0.356816,ste,157,160
B,0.890384,omyelitis,160,169
I,0.38518527,,1,2
B,0.46867597,6,2,3
I,0.78381324,4-year-old woman,3,19
B,0.8217409,admitted,23,32
B,0.5248012,p,60,61
B,0.6403977,l,65,67
I,0.4770689,ump,67,70
I,0.76286423,left breast,77,89
B,0.5372081,tum,3,7
B,0.5714556,realize,9,17
B,0.5998994,thy,35,39
I,0.6511935,paren,43,49
B,0.38359278,y,51,52
B,0.5188565,separated,63,73
B,0.57751334,fib,80,84
I,0.5324652,capsule,88,96
B,0.8659161,The,0,3
I,0.9620361,parents,3,11
B,0.93979347,satisfied,21,31
B,0.91852254,She,0,3
B,0.8205229,controlled,7,18
B,0.85577047,therapy,29,37
B,0.75842035,Surgery,0,7
B,0.59422624,performed,11,21
B,0.6190936,November ,24,34
B,0.49554133,reson,63,69
B,0.59020054,scan,87,92
B,0.5778987,recommended,96,108
B,0.664102,Liver,0,5
B,0.7701764,enlarged ,9,19
I,0.52321637,margin,40,47
I,0.58787185,cm,65,67
B,0.8518694,cope examination revealed,4,29
I,0.63859516,me,50,53
B,0.81627727,trusion,61,68
I,0.7128829,tympanic membrane,83,101
B,0.7545272,procedure,3,13
B,0.798054,unevent,17,25
B,0.5013248,the,32,36
I,0.9466643,patient,36,44
B,0.9023124,transferred,48,60
B,0.641415,support,108,116
B,0.7690438,swelling,3,12
B,0.6453387,non,16,20
B,0.5379193,tender,21,27
B,0.6794916,changes,61,69
B,0.94034827,hemod,5,11
B,0.6889534,stabilization,17,31
B,0.9043777,ophage,39,45
B,0.89337707,duoden,54,60
I,0.5106122,os,60,62
B,0.82607216,performed,70,80
I,0.9552143,third,104,110
B,0.84300756,fer,138,141
B,0.92821246,con,149,153
B,0.94415927,fer,206,209
I,0.6920074,pig,221,225
B,0.571906,ment,225,229
B,0.653718,m,239,241
B,0.4851764,ud,277,279
B,0.6046619,follow,19,26
B,0.37780225,up,27,29
B,0.82822496,three,47,53
I,0.900434,months,53,60
I,0.982333,year,72,77
I,0.8504249,yearly,93,100
I,0.7989295,right ovary,3,15
B,0.827851,enlarged,19,28
B,0.77264506,,37,38
I,0.6097429,cm diameter,40,51
B,0.5811278,Urea,0,4
I,0.4890773,mg,8,11
I,0.6999062,mg,32,35
I,0.7628133,mm,52,55
B,0.5340107,potass,65,72
B,0.5193263,3,77,78
I,0.6978943,mmol,80,85
B,0.6075932,normal,93,100
B,0.7883932,retraction,12,23
I,0.44332162,nipple,30,37
B,0.4698941,skin,38,43
I,0.4503801,ulcer,43,49
B,0.44709805,ation,49,54
B,0.7022766,changes,70,78
I,0.6631559,eyeballs,4,13
B,0.7562207,normal,18,25
B,0.67946994,glue,10,15
B,0.59107244,used,19,24
I,0.4287812,g,43,45
I,0.3949246,met,48,51
B,0.79626274,our,13,17
I,0.8815129,patient,17,25
I,0.56632566,ch,38,40
I,0.6483395,nod,43,47
B,0.6613401,resected,50,59
B,0.86277616,discharge,9,19
B,0.48050505,wound,37,43
I,0.6495406,back,50,55
B,0.47074658,,6,7
I,0.5485506,5th,7,10
B,0.66661876,,14,15
I,0.7813155,th days,16,23
B,0.75472736,admission,26,36
B,0.73715866,drainage,69,78
I,0.7136126,abscesses,86,96
B,0.48718685,work,7,12
B,0.56029,showed,14,21
B,0.64630353,8,71,73
B,0.49571013,,85,86
I,0.43586916,one,11,15
B,0.4355153,metap,46,52
I,0.47318175,las,52,55
I,0.5803519,subvastus quadriceps,64,85
B,0.5060549,sparing,86,93
B,0.67016155,ision,8,13
B,0.7756638,,16,17
I,0.7113785,cm,19,22
B,0.50969195,extending,36,46
B,0.5572001,e,55,57
I,0.8016453,arlobe,57,63
I,0.4635551,mand,75,80
I,0.523269,angle,86,92
B,0.86520225,discharge,9,19
B,0.9638209,she,20,24
B,0.75831896,followed,28,37
B,0.5701932,sympt,62,68
B,0.7161179,in,12,14
B,0.46414173,(,26,28
B,0.7026771,raised (4,37,47
I,0.8768404,5,114,115
I,0.92990625,IN,132,135
B,0.51286733,,136,137
B,0.39873633,2,139,140
I,0.7801403,0,140,141
B,0.7401626,lyca,147,151
I,0.7173912,70,158,160
B,0.88979924,The,0,3
I,0.91209126,patient,3,11
B,0.7880114,angina,15,22
B,0.5042356,one,31,35
I,0.88541996,year,35,40
B,0.61274725,represented,44,56
B,0.7802974,July,59,64
I,0.5586363,,64,65
I,0.47527158,.,97,98
B,0.62224877,history,12,20
B,0.72506833,trauma,34,41
B,0.5700535,head,48,53
B,0.5279197,face,56,61
B,0.8010902,She reported,0,12
B,0.4936221,consultation,27,40
I,0.38211685,em,62,64
I,0.5921566,al mucosa,73,82
B,0.8721713,complaint,8,18
B,0.56836754,,24,25
I,0.88552624,month,26,32
B,0.4789274,ep,43,46
I,0.70872617,abdominal pain,54,69
B,0.60694396,grad,80,85
B,0.6118384,set,94,97
B,0.6692631,dull,98,103
B,0.6171817,persistent,107,118
B,0.94391197,She,0,3
B,0.7797574,pain,25,30
B,0.552018,the,33,37
I,0.8748985,small joints,37,50
B,0.5246609,several,54,62
I,0.90490025,months,62,69
I,0.52839315,,1,2
I,0.79885674,3-year-old woman,3,19
B,0.94707257,presented,19,29
I,0.64609987,auricular mass,57,71
B,0.6865724,discovered 10,81,95
I,0.92077327,months,95,102
B,0.68545085,rese,110,115
I,0.7346534,child,21,27
B,0.36690354,ne,29,32
B,0.5164319,f,50,52
B,0.5545615,signs,69,75
I,0.6997712,venous th,112,122
B,0.5549194,diagnosis,154,164
B,0.79546136,assesment,10,20
B,0.6144137,-1,32,34
I,0.8112997,0,34,35
I,0.97366047,3,36,37
B,0.34716687,/,38,39
B,0.7840033,BC 10,44,49
I,0.8035479,200 cells/dl,49,61
B,0.7629032,;,61,62
B,0.8252808,utro,65,69
B,0.86601156,ils 59,71,77
B,0.6509203,"3%,",78,81
I,0.95794636,l,81,83
B,0.82304317,ymphocytes 2,83,95
I,0.5811831,6,95,96
B,0.76092273,1,97,98
B,0.9210739,Monocytes,100,110
B,0.68249226,10,111,113
B,0.714442,1,114,115
I,0.7310949,%,115,116
B,0.7413013,Eosinoph,120,129
B,0.7752985,2,133,134
B,0.6648894,7,135,136
B,0.8798315,information,7,19
B,0.55196065,9,22,24
I,0.8498847,-month-old boy,24,38
B,0.8623607,presented,38,48
I,0.6526964,-day,79,83
B,0.7179531,refusal,94,102
B,0.6180477,weight,110,117
I,0.8136706,right lower extremity,124,146
B,0.73469996,feb,150,154
I,0.72590214,peaks,158,164
B,0.496598,3,174,175
B,0.5529733,2,184,186
I,0.9661769,hours,187,193
B,0.5183624,ography,18,25
B,0.84985006,admission revealed,28,47
I,0.53664,en,56,59
I,0.666793,ed liver,63,71
B,0.7469552,spleen,75,82
B,0.5590963,,102,103
I,0.5255461,s,104,106
B,0.74254745,hyp,113,117
I,0.4876549,lesions,124,132
B,0.63503957,st,43,46
I,0.90859175,AD,55,57
B,0.6695372,stented,72,80
I,0.68546987,mm,91,93
B,0.852453,pregnancy,17,27
I,0.89965606,fetus,41,47
B,0.54430425,mutation,60,69
B,0.83462876,examinations showed,88,108
I,0.86847574,fetus,116,122
B,0.49085242,growth,139,146
B,0.92783976,Examination showed,0,18
I,0.5732551,VI nerve palsy,26,41
B,0.78351,di,42,45
B,0.6151967,opia,47,51
B,0.63709897,tinn,56,61
I,0.6968304,itus,61,65
B,0.48323986,the,68,72
I,0.9157748,right ear,72,82
B,0.69040376,hearing loss,93,106
B,0.7336422,1,2,4
I,0.8659643,2 weeks,4,11
B,0.7764336,ysis showed,33,44
B,0.5801108,he,68,71
B,0.80035436,procedure,47,57
B,0.81223196,realized,61,70
B,0.7331944,,71,72
I,0.48393685,fluid,85,91
B,0.6990373,evacuated,95,105
B,0.68223274,history,11,19
B,0.71478254,remarkable,26,36
B,0.51031077,ities,52,57
B,0.906836,diagnosis,12,22
B,0.91396314,ple,26,30
B,0.57285047,aden,38,43
B,0.641084,tissue,10,17
B,0.82321286,identified,21,32
B,0.6822772,day,17,21
B,0.7708041,hospitalization,28,44
I,0.7308662,patient,49,57
B,0.74664587,progressive loss,69,86
B,0.81483996,conscious,89,99
B,0.7740961,epistaxis,110,120
B,0.923955,multi,124,130
B,0.7696866,failure,136,144
B,0.9252058,cy,3,6
I,0.4478266,top,6,9
I,0.3658392,asm,10,13
I,0.6026917,membrane,15,24
B,0.7170204,irregular,27,37
B,0.79527843,thick,41,47
I,0.7124398,right,3,9
I,0.7300113,kle,12,15
B,0.7444244,immobilized,19,31
B,0.50183654,instruct,72,81
B,0.88329554,post,3,8
B,0.96784633,recovery,18,27
B,0.8576286,unevent,31,39
B,0.5697735,mer,30,34
B,0.4847548,dose,45,50
I,0.75206685,1gr,54,57
B,0.88434005,administered,71,84
B,0.66571844,isol,15,20
B,0.7284375,identified,23,34
B,0.7443098,itek,43,47
B,0.9438026,automated,49,59
B,0.64069724,classified,70,81
B,0.63919634,ro,91,93
B,0.71577203,He,0,2
B,0.767056,extend,14,21
B,0.7165633,knee,25,30
B,0.8555677,flexion,35,43
B,0.9280945,restricted,47,58
B,0.653958,She,0,3
B,0.69555044,initiated,17,27
B,0.62714666,therapy,59,67
B,0.8297567,the last follow,2,18
B,0.99700546,up visit,19,27
B,0.90611625,18,30,33
I,0.46569815,post,40,45
B,0.5201449,oper,45,49
I,0.94808686,patient,61,69
B,0.9826157,pain,76,81
B,0.9860476,limitation,84,95
B,0.979262,walking,98,106
B,0.5402991,running,110,118
B,0.8159514,He,0,2
B,0.48748133,VI,28,31
I,0.7133822,nerve,31,37
B,0.6571927,palsy,37,43
B,0.55459744,squint,60,67
B,0.5830384,Pat,0,3
I,0.63997287,ient,3,7
I,0.5109915,cig,97,101
I,0.6182862,our,7,10
I,0.64815956,l,31,33
B,0.45830083,obe,33,36
B,0.87152565,par,43,47
B,0.8071196,land,53,57
B,0.92298335,posterior,65,75
I,0.7939447,wall,75,80
I,0.8234821,itory,100,105
B,0.5010611,canal,105,111
B,0.72348076,the,8,12
I,0.9394336,child,12,18
B,0.55225885,continued,18,28
B,0.8165561,experience,31,42
B,0.7122005,kle pain,45,53
B,0.8695808,fever,57,63
B,0.8543072,elevation,4,14
I,0.5449643,enzym,23,29
B,0.66413885,check,64,70
B,0.549146,examination,7,19
B,0.93669224,septic,50,57
B,0.5228013,resp,64,69
B,0.9053403,,81,82
I,0.62591124,8 cycles,83,91
I,0.54633975,min,95,99
I,0.6369955,pulse,104,110
B,0.5170245,regular,114,122
B,0.9995852,ap,130,133
B,0.7000457,1,145,147
I,0.82705605,0,148,149
I,0.8600368,ats/,152,156
B,0.6923819,3,172,174
I,0.6507872,°,175,176
B,0.95303905,,194,195
I,0.7890041,0/,196,198
I,0.56508845,0 mmH,199,204
I,0.41111705,he,206,209
B,0.7275949,crot,216,220
B,0.5733921,put,241,244
B,0.83231515,st,249,252
I,0.46915722,peripher,260,269
B,0.921308,The,0,3
I,0.9584665,patient,3,11
B,0.66353476,went hyst,17,26
I,0.3742196,erect,26,31
B,0.6718964,omy,31,34
B,0.74021614,B,38,40
B,0.79051197,Examination revealed normal anterior,0,36
B,0.44884843,posterior,40,50
I,0.54811734,segments bilater,50,67
B,0.7478424,The,0,3
I,0.92353565,patient,3,11
B,0.93547964,tests,19,25
B,0.7145619,normal,30,37
B,0.49912557,protein ,49,58
I,0.80897045,mg,59,62
I,0.36992997,l,63,64
I,0.45430917,ph,72,75
B,0.40431842,balance,90,98
B,0.4816333,di,24,27
B,0.37321487,hyp,41,45
B,0.6082615,deviation,71,81
B,0.8358219,she,109,113
B,0.3608021,post,143,148
B,0.60092115,incising,5,14
B,0.52926093,contact lens,39,52
B,0.7113967,found,56,62
I,0.5813348,capsule,80,88
B,0.51237595,ulation,97,104
I,0.35843942,tissue,104,111
I,0.48021242,sub,118,122
I,0.6482688,j,125,126
I,0.61525166,space,134,140
B,0.80208874,mutations,2,12
B,0.7530019,identified,17,28
I,0.41930893,let,41,44
B,0.6439889,analysis,117,126
B,0.6244378,resonance imaging,10,28
B,0.51246315,size,16,21
I,0.39521468,vag,77,80
B,0.9110653,count,7,13
B,0.86764693,6,17,19
I,0.64600873,3cells/mm 3.,19,31
I,0.865765,l,9,11
I,0.6040354,ph,13,15
I,0.6856084,yt,17,19
B,0.9840497,fil,24,27
B,0.94461,constituted,45,57
I,0.9661244,T,60,62
B,0.65847456,phocy,66,71
B,0.9281109,CD,74,77
B,0.5635519,/,79,80
I,0.4723196,(,82,84
I,0.44977126,ph,107,109
B,0.69923204,CD,115,118
I,0.944325,child,3,9
B,0.8483324,complained,9,20
B,0.6165377,headache,34,43
B,0.69812006,fever,55,61
B,0.71848947,meningism,62,72
I,0.920765,child,3,9
B,0.89269537,mutation,21,30
B,0.7194528,small,38,44
B,0.81602323,gest,48,53
B,0.5648881,age,60,64
B,0.7964197,birth,67,73
I,0.8332118,other child,83,95
B,0.8162278,mutation,113,122
B,0.6060902,birth weight,137,150
B,0.6804599,showed,12,19
B,0.4331674,syn,88,92
B,0.45575032,nod,111,115
I,0.614263,ules,115,119
B,0.8595766,showed,21,28
B,0.5214005,tachy,34,40
I,0.62069255,card,40,44
B,0.43959916,ia,44,46
B,0.9606654,She,0,3
B,0.87580496,referred,20,29
B,0.616483,rev,42,46
B,0.6857643,ization,53,60
B,0.71426016,She reported,0,12
B,0.6541701,dyspnea,23,31
B,0.5441922,developed,36,46
I,0.66287607,month,62,68
B,0.58247656,suggestive,65,76
B,0.79840964,wing,81,85
B,0.5837469,biopsy,3,10
B,0.5047064,im,15,17
B,0.7874839,examination,46,58
B,0.73040295,culture,62,70
I,0.9793956,days,3,8
B,0.5499349,tampons,20,28
B,0.84697634,removed,33,41
B,0.73752815,the,42,46
I,0.9216305,patient,46,54
B,0.5724637,discharged,58,69
I,0.80591005,day after,73,83
B,0.61649275,thought,19,27
B,0.5515616,syn,74,78
I,0.42297655,ch,83,86
B,0.46625406,osis,94,98
I,0.46883705,,1,2
B,0.57028836,6,2,3
I,0.76588374,0 year-old man,3,17
B,0.8935887,presented,17,27
B,0.48931792,sept,57,62
B,0.59599924,shock,64,70
B,0.8195915,hem,75,79
B,0.58429164,ography,12,19
B,0.6469495,revealed,24,33
B,0.8700065,dil,44,48
B,0.4779295,b,59,61
B,0.6444831,du,64,67
I,0.5913765,en,83,86
B,0.8791591,ip,96,98
B,0.5704365,lym,107,111
I,0.7012029,ph,111,113
B,0.72440547,she cried,39,49
B,0.7059869,birth,66,72
I,0.5259228,dom,8,11
I,0.43251136,h,15,17
B,0.42809033,yst,17,20
B,0.57124484,omy,25,28
B,0.57690924,nexectomy,42,51
I,0.5400493,o,66,68
B,0.405484,ment,68,72
B,0.611969,omy,75,78
B,0.6643237,Eversion,0,8
I,0.76272386,upper eyelid,15,28
B,0.83848685,revealed,33,42
B,0.5959742,j,56,57
I,0.82781935,upper tarsus,86,99
B,0.51824504,May ,2,7
B,0.50710994,c,12,14
B,0.5509029,removed,24,32
B,0.3911196,left,37,42
I,0.68520504,flank,42,48
B,0.4568783,wound,72,78
B,0.8630053,evaluation,11,22
I,0.8584066,abdomen,3,11
B,0.8904381,distended,23,33
I,0.69734347,veins,57,63
B,0.98136604,recovery,13,22
B,0.79715025,delayed,26,34
B,0.681476,control,68,76
B,0.73783064,lesions,3,11
B,0.9550328,hyp,16,20
B,0.8026314,presented,30,40
B,0.8613475,enhancement,51,63
B,0.5053541,aven,74,78
B,0.8049617,hep,120,124
I,0.5671864,ab,128,131
B,0.55238247,sc,131,133
I,0.82909006,esses,133,138
B,0.9922881,i,13,14
B,0.53750044,c,43,45
I,0.9698408,(,57,59
I,0.9923941,0mg,61,64
I,0.91681516,(500mg,99,106
B,0.9731496,initiated,125,135
B,0.56974447,diameter,3,12
B,0.78861773,four,16,21
I,0.71671927,bowel,54,60
B,0.6870325,dilatation,74,85
B,0.5441096,connected,89,99
B,0.8609464,diagnosis,41,51
B,0.40005893,carcin,73,80
B,0.9063901,examination he,2,17
B,0.7149768,afebrile,21,30
B,0.714442,BP,31,34
I,0.5461476,/,37,38
B,0.5837766,rate ,48,54
B,0.53093463,ology,7,12
B,0.49170873,end,15,19
B,0.47628826,S,22,24
B,0.8514656,showed growth,41,55
B,0.5757711,Pse,58,62
I,0.6709456,udomonas aeruginosa,62,81
B,0.5372433,sensitive,92,102
B,0.48937833,gent,105,110
I,0.5198298,in,114,116
B,0.7662482,Ten,0,3
I,0.97124016,days,3,8
B,0.835656,operation,19,29
B,0.66862893,pain,42,47
B,0.52951705,lesion,51,58
I,0.81167555,cm x ,70,76
I,0.7031734,cm,77,80
B,0.7940599,observed,84,93
B,0.83805084,ig,6,8
B,0.8770256,haemog,23,30
B,0.78010887,in,33,35
I,0.8872864,5,41,42
I,0.5112719,-,53,54
B,0.63069195,igen ,93,98
I,0.65846527,5,100,101
I,0.76618433,4U/,106,109
I,0.49777737,-,117,118
I,0.47816205,beta,128,133
B,0.5081639,ch,139,142
B,0.76726645,ion,144,147
B,0.9713784,ad,153,155
I,0.6565057,(,162,164
B,0.50846183,,171,172
I,0.8821372,258m,174,178
I,0.8579833,/,180,181
I,0.63329756,-,189,190
B,0.9385905,fetop,202,208
I,0.8420284,7 ng/,218,223
B,0.8393344,Examination,0,11
B,0.5365239,opsy,19,23
B,0.87933546,revealed,32,41
B,0.44530725,ne,65,68
I,0.40270448,asm,71,74
I,0.59078133,hyperchromatic cells,96,117
B,0.69975215,staining weak,118,132
B,0.47643602,neuro,138,144
B,0.45019665,mark,153,158
B,0.4799868,ep,65,67
I,0.47058347,mg,76,79
B,0.6926801,,99,100
I,0.684726,mg,102,104
I,0.5166712,paren,114,120
B,0.5752748,nutrition,125,135
B,0.47607943,io,7,9
B,0.9338798,height,16,23
B,0.94285256,,27,28
I,0.80419725,cm,30,33
I,0.54470813,lie,52,56
B,0.9231801,presentation,67,80
B,0.5107076,Twenty,0,6
I,0.7938156,-year-,11,17
I,0.5240143,female,31,38
B,0.49940532,history,48,56
B,0.7210654,recovery,68,77
B,0.5789256,inflam,96,103
I,0.446577,dem,109,113
B,0.48078787,y,113,114
I,0.3502423,poly,123,128
B,0.48481575,arr,167,170
B,0.4689055,,180,181
I,0.9206531,years,183,189
B,0.66832715,presented,194,204
B,0.63631153,asc,216,220
B,0.5651005,bul,273,277
I,0.5963162,muscles,280,288
B,0.60835433,bil,289,293
I,0.47676295,an,306,308
I,0.58843935,nerves,311,318
B,0.55904615,vent,364,369
B,0.77237064,,7,8
I,0.8813284,hours,10,16
B,0.8040492,initiation,22,33
B,0.84862334,treatment,36,46
B,0.8763559,she complained,47,62
B,0.530326,ab,65,68
I,0.59440243,dominal pain,68,80
B,0.80147344,vomiting,81,90
B,0.61772156,diarr,94,100
I,0.46796727,hea,100,103
B,0.6383475,fever,111,117
B,0.4759223,Nerve,0,5
I,0.6766622,fibers,5,12
B,0.48086902,gang,16,21
I,0.7139265,cells,25,31
B,0.38427606,my,34,37
I,0.4411588,enter,37,42
I,0.5585994,plexuses,59,68
B,0.48888075,absence,95,103
I,0.5527084,cells,115,121
I,0.59902906,lymph,128,134
I,0.52428824,ytic,136,140
B,0.49573824,ation,148,153
B,0.8771717,access,21,28
B,0.40531585,avity,35,40
B,0.9525097,cleaned,45,53
I,0.45536944,f,78,80
I,0.6531259,inous pus,83,92
B,0.8976563,drained,96,104
I,0.48861036,bronch,3,10
I,0.5042132,nod,13,17
B,0.35685137,ule,17,20
B,0.5664628,stable,24,31
B,0.58757424,imaging,49,57
B,0.91854215,reported,72,81
B,0.7783441,appearance,105,116
I,0.4174959,granul,127,134
B,0.615769,l,140,142
I,0.7497373,ymph node,142,151
B,0.91016334,examination,15,27
B,0.7004884,admission,30,40
B,0.56555974,signs,47,53
